LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Value_pct_growth
ITA,INDPROD,TOT,IDX2015,M,1988-12,111.5471,
ITA,INDPROD,TOT,IDX2015,M,1989-01,110.0126,
ITA,INDPROD,TOT,IDX2015,M,1989-02,110.2487,
ITA,INDPROD,TOT,IDX2015,M,1989-03,108.7142,
ITA,INDPROD,TOT,IDX2015,M,1989-04,109.5405,
ITA,INDPROD,TOT,IDX2015,M,1989-05,108.5961,
ITA,INDPROD,TOT,IDX2015,M,1989-06,111.3111,
ITA,INDPROD,TOT,IDX2015,M,1989-07,110.0126,
ITA,INDPROD,TOT,IDX2015,M,1989-08,109.5405,
ITA,INDPROD,TOT,IDX2015,M,1989-09,112.1373,
ITA,INDPROD,TOT,IDX2015,M,1989-10,112.6095,
ITA,INDPROD,TOT,IDX2015,M,1989-11,112.7275,
ITA,INDPROD,TOT,IDX2015,M,1989-12,113.5538,
ITA,INDPROD,TOT,IDX2015,M,1990-01,110.1908,
ITA,INDPROD,TOT,IDX2015,M,1990-02,110.7908,
ITA,INDPROD,TOT,IDX2015,M,1990-03,111.1907,
ITA,INDPROD,TOT,IDX2015,M,1990-04,112.0907,
ITA,INDPROD,TOT,IDX2015,M,1990-05,110.7908,
ITA,INDPROD,TOT,IDX2015,M,1990-06,109.6909,
ITA,INDPROD,TOT,IDX2015,M,1990-07,109.9908,
ITA,INDPROD,TOT,IDX2015,M,1990-08,111.1907,
ITA,INDPROD,TOT,IDX2015,M,1990-09,110.8908,
ITA,INDPROD,TOT,IDX2015,M,1990-10,110.2908,
ITA,INDPROD,TOT,IDX2015,M,1990-11,108.6909,
ITA,INDPROD,TOT,IDX2015,M,1990-12,110.4908,
ITA,INDPROD,TOT,IDX2015,M,1991-01,111.0907,
ITA,INDPROD,TOT,IDX2015,M,1991-02,108.9909,
ITA,INDPROD,TOT,IDX2015,M,1991-03,108.391,
ITA,INDPROD,TOT,IDX2015,M,1991-04,107.3911,
ITA,INDPROD,TOT,IDX2015,M,1991-05,108.6909,
ITA,INDPROD,TOT,IDX2015,M,1991-06,109.0909,
ITA,INDPROD,TOT,IDX2015,M,1991-07,109.0909,
ITA,INDPROD,TOT,IDX2015,M,1991-08,109.6909,
ITA,INDPROD,TOT,IDX2015,M,1991-09,110.8908,
ITA,INDPROD,TOT,IDX2015,M,1991-10,110.1908,
ITA,INDPROD,TOT,IDX2015,M,1991-11,110.7908,
ITA,INDPROD,TOT,IDX2015,M,1991-12,109.2909,
ITA,INDPROD,TOT,IDX2015,M,1992-01,110.1908,
ITA,INDPROD,TOT,IDX2015,M,1992-02,110.1908,
ITA,INDPROD,TOT,IDX2015,M,1992-03,109.9908,
ITA,INDPROD,TOT,IDX2015,M,1992-04,110.2908,
ITA,INDPROD,TOT,IDX2015,M,1992-05,109.9908,
ITA,INDPROD,TOT,IDX2015,M,1992-06,109.7908,
ITA,INDPROD,TOT,IDX2015,M,1992-07,108.391,
ITA,INDPROD,TOT,IDX2015,M,1992-08,106.4911,
ITA,INDPROD,TOT,IDX2015,M,1992-09,105.6912,
ITA,INDPROD,TOT,IDX2015,M,1992-10,106.3911,
ITA,INDPROD,TOT,IDX2015,M,1992-11,107.0911,
ITA,INDPROD,TOT,IDX2015,M,1992-12,105.2912,
ITA,INDPROD,TOT,IDX2015,M,1993-01,107.0911,
ITA,INDPROD,TOT,IDX2015,M,1993-02,106.7911,
ITA,INDPROD,TOT,IDX2015,M,1993-03,106.2911,
ITA,INDPROD,TOT,IDX2015,M,1993-04,106.0912,
ITA,INDPROD,TOT,IDX2015,M,1993-05,105.4912,
ITA,INDPROD,TOT,IDX2015,M,1993-06,105.0912,
ITA,INDPROD,TOT,IDX2015,M,1993-07,104.4913,
ITA,INDPROD,TOT,IDX2015,M,1993-08,104.5913,
ITA,INDPROD,TOT,IDX2015,M,1993-09,105.1912,
ITA,INDPROD,TOT,IDX2015,M,1993-10,105.0912,
ITA,INDPROD,TOT,IDX2015,M,1993-11,105.8912,
ITA,INDPROD,TOT,IDX2015,M,1993-12,105.7912,
ITA,INDPROD,TOT,IDX2015,M,1994-01,106.0912,
ITA,INDPROD,TOT,IDX2015,M,1994-02,107.791,
ITA,INDPROD,TOT,IDX2015,M,1994-03,109.2909,
ITA,INDPROD,TOT,IDX2015,M,1994-04,111.0907,
ITA,INDPROD,TOT,IDX2015,M,1994-05,111.4907,
ITA,INDPROD,TOT,IDX2015,M,1994-06,112.5906,
ITA,INDPROD,TOT,IDX2015,M,1994-07,112.7906,
ITA,INDPROD,TOT,IDX2015,M,1994-08,113.1906,
ITA,INDPROD,TOT,IDX2015,M,1994-09,113.7905,
ITA,INDPROD,TOT,IDX2015,M,1994-10,113.4905,
ITA,INDPROD,TOT,IDX2015,M,1994-11,115.3904,
ITA,INDPROD,TOT,IDX2015,M,1994-12,118.1901,
ITA,INDPROD,TOT,IDX2015,M,1995-01,117.7902,
ITA,INDPROD,TOT,IDX2015,M,1995-02,117.0902,
ITA,INDPROD,TOT,IDX2015,M,1995-03,117.3902,
ITA,INDPROD,TOT,IDX2015,M,1995-04,117.4902,
ITA,INDPROD,TOT,IDX2015,M,1995-05,118.1901,
ITA,INDPROD,TOT,IDX2015,M,1995-06,117.9902,
ITA,INDPROD,TOT,IDX2015,M,1995-07,117.8902,
ITA,INDPROD,TOT,IDX2015,M,1995-08,119.99,
ITA,INDPROD,TOT,IDX2015,M,1995-09,119.1901,
ITA,INDPROD,TOT,IDX2015,M,1995-10,119.99,
ITA,INDPROD,TOT,IDX2015,M,1995-11,119.99,
ITA,INDPROD,TOT,IDX2015,M,1995-12,121.9898,
ITA,INDPROD,TOT,IDX2015,M,1996-01,120.19,
ITA,INDPROD,TOT,IDX2015,M,1996-02,118.8901,
ITA,INDPROD,TOT,IDX2015,M,1996-03,117.6902,
ITA,INDPROD,TOT,IDX2015,M,1996-04,116.3903,
ITA,INDPROD,TOT,IDX2015,M,1996-05,116.2903,
ITA,INDPROD,TOT,IDX2015,M,1996-06,116.4903,
ITA,INDPROD,TOT,IDX2015,M,1996-07,116.3903,
ITA,INDPROD,TOT,IDX2015,M,1996-08,116.9902,
ITA,INDPROD,TOT,IDX2015,M,1996-09,115.3904,
ITA,INDPROD,TOT,IDX2015,M,1996-10,115.8903,
ITA,INDPROD,TOT,IDX2015,M,1996-11,115.3904,
ITA,INDPROD,TOT,IDX2015,M,1996-12,115.0904,
ITA,INDPROD,TOT,IDX2015,M,1997-01,115.9903,-3.494217489
ITA,INDPROD,TOT,IDX2015,M,1997-02,117.9902,-0.756917523
ITA,INDPROD,TOT,IDX2015,M,1997-03,118.5901,0.764634608
ITA,INDPROD,TOT,IDX2015,M,1997-04,120.6899,3.694122277
ITA,INDPROD,TOT,IDX2015,M,1997-05,120.39,3.525401517
ITA,INDPROD,TOT,IDX2015,M,1997-06,121.3899,4.206015436
ITA,INDPROD,TOT,IDX2015,M,1997-07,122.1898,4.98280355
ITA,INDPROD,TOT,IDX2015,M,1997-08,122.8898,5.042815552
ITA,INDPROD,TOT,IDX2015,M,1997-09,122.7898,6.412491854
ITA,INDPROD,TOT,IDX2015,M,1997-10,124.2896,7.247629871
ITA,INDPROD,TOT,IDX2015,M,1997-11,123.5897,7.105703767
ITA,INDPROD,TOT,IDX2015,M,1997-12,124.4896,8.166797578
ITA,INDPROD,TOT,IDX2015,M,1998-01,123.5897,6.551754759
ITA,INDPROD,TOT,IDX2015,M,1998-02,123.4897,4.660980319
ITA,INDPROD,TOT,IDX2015,M,1998-03,122.8898,3.625682076
ITA,INDPROD,TOT,IDX2015,M,1998-04,123.8897,2.651257479
ITA,INDPROD,TOT,IDX2015,M,1998-05,123.6897,2.740842263
ITA,INDPROD,TOT,IDX2015,M,1998-06,123.4897,1.729797949
ITA,INDPROD,TOT,IDX2015,M,1998-07,123.2897,0.900156969
ITA,INDPROD,TOT,IDX2015,M,1998-08,121.5899,-1.057776968
ITA,INDPROD,TOT,IDX2015,M,1998-09,123.3897,0.488558496
ITA,INDPROD,TOT,IDX2015,M,1998-10,122.5898,-1.367612415
ITA,INDPROD,TOT,IDX2015,M,1998-11,122.1898,-1.13269957
ITA,INDPROD,TOT,IDX2015,M,1998-12,119.2901,-4.176654114
ITA,INDPROD,TOT,IDX2015,M,1999-01,121.5899,-1.618096006
ITA,INDPROD,TOT,IDX2015,M,1999-02,120.9899,-2.024298383
ITA,INDPROD,TOT,IDX2015,M,1999-03,121.3899,-1.220524405
ITA,INDPROD,TOT,IDX2015,M,1999-04,120.49,-2.7441345
ITA,INDPROD,TOT,IDX2015,M,1999-05,119.59,-3.314503956
ITA,INDPROD,TOT,IDX2015,M,1999-06,121.4899,-1.619406315
ITA,INDPROD,TOT,IDX2015,M,1999-07,122.3898,-0.729906878
ITA,INDPROD,TOT,IDX2015,M,1999-08,123.1897,1.315734284
ITA,INDPROD,TOT,IDX2015,M,1999-09,123.6897,0.243132125
ITA,INDPROD,TOT,IDX2015,M,1999-10,124.8896,1.876012523
ITA,INDPROD,TOT,IDX2015,M,1999-11,125.6895,2.86415069
ITA,INDPROD,TOT,IDX2015,M,1999-12,124.2896,4.191043515
ITA,INDPROD,TOT,IDX2015,M,2000-01,124.5896,2.467063465
ITA,INDPROD,TOT,IDX2015,M,2000-02,125.1896,3.471116184
ITA,INDPROD,TOT,IDX2015,M,2000-03,126.2895,4.036250133
ITA,INDPROD,TOT,IDX2015,M,2000-04,127.2894,5.643123911
ITA,INDPROD,TOT,IDX2015,M,2000-05,127.9893,7.023413329
ITA,INDPROD,TOT,IDX2015,M,2000-06,127.7894,5.185204696
ITA,INDPROD,TOT,IDX2015,M,2000-07,126.7894,3.594744006
ITA,INDPROD,TOT,IDX2015,M,2000-08,127.9893,3.89610495
ITA,INDPROD,TOT,IDX2015,M,2000-09,127.8893,3.395270584
ITA,INDPROD,TOT,IDX2015,M,2000-10,128.3893,2.802234934
ITA,INDPROD,TOT,IDX2015,M,2000-11,129.9892,3.420890369
ITA,INDPROD,TOT,IDX2015,M,2000-12,131.789,6.033811357
ITA,INDPROD,TOT,IDX2015,M,2001-01,128.1893,2.889245972
ITA,INDPROD,TOT,IDX2015,M,2001-02,127.3894,1.757174717
ITA,INDPROD,TOT,IDX2015,M,2001-03,127.4894,0.950118577
ITA,INDPROD,TOT,IDX2015,M,2001-04,126.1895,-0.864093947
ITA,INDPROD,TOT,IDX2015,M,2001-05,126.0895,-1.484342832
ITA,INDPROD,TOT,IDX2015,M,2001-06,126.2895,-1.173728024
ITA,INDPROD,TOT,IDX2015,M,2001-07,123.8897,-2.287020839
ITA,INDPROD,TOT,IDX2015,M,2001-08,126.0895,-1.484342832
ITA,INDPROD,TOT,IDX2015,M,2001-09,124.1897,-2.892814332
ITA,INDPROD,TOT,IDX2015,M,2001-10,123.4897,-3.816205868
ITA,INDPROD,TOT,IDX2015,M,2001-11,121.6899,-6.384607337
ITA,INDPROD,TOT,IDX2015,M,2001-12,123.3897,-6.373293674
ITA,INDPROD,TOT,IDX2015,M,2002-01,122.3898,-4.524168554
ITA,INDPROD,TOT,IDX2015,M,2002-02,123.7897,-2.825745313
ITA,INDPROD,TOT,IDX2015,M,2002-03,124.6896,-2.196104147
ITA,INDPROD,TOT,IDX2015,M,2002-04,120.8899,-4.199715507
ITA,INDPROD,TOT,IDX2015,M,2002-05,125.1896,-0.713699396
ITA,INDPROD,TOT,IDX2015,M,2002-06,123.8897,-1.900237154
ITA,INDPROD,TOT,IDX2015,M,2002-07,123.3897,-0.403584802
ITA,INDPROD,TOT,IDX2015,M,2002-08,121.8898,-3.330729363
ITA,INDPROD,TOT,IDX2015,M,2002-09,124.2896,0.080441454
ITA,INDPROD,TOT,IDX2015,M,2002-10,122.7898,-0.566767917
ITA,INDPROD,TOT,IDX2015,M,2002-11,124.9896,2.711564394
ITA,INDPROD,TOT,IDX2015,M,2002-12,123.6897,0.243132125
ITA,INDPROD,TOT,IDX2015,M,2003-01,124.9896,2.124196624
ITA,INDPROD,TOT,IDX2015,M,2003-02,122.4898,-1.050087366
ITA,INDPROD,TOT,IDX2015,M,2003-03,122.5898,-1.684021763
ITA,INDPROD,TOT,IDX2015,M,2003-04,124.2896,2.812228317
ITA,INDPROD,TOT,IDX2015,M,2003-05,120.19,-3.993622473
ITA,INDPROD,TOT,IDX2015,M,2003-06,121.6899,-1.775611693
ITA,INDPROD,TOT,IDX2015,M,2003-07,123.3897,0
ITA,INDPROD,TOT,IDX2015,M,2003-08,120.7899,-0.902372471
ITA,INDPROD,TOT,IDX2015,M,2003-09,121.2899,-2.413476268
ITA,INDPROD,TOT,IDX2015,M,2003-10,122.5898,-0.162879979
ITA,INDPROD,TOT,IDX2015,M,2003-11,124.0897,-0.719979902
ITA,INDPROD,TOT,IDX2015,M,2003-12,124.0897,0.323389902
ITA,INDPROD,TOT,IDX2015,M,2004-01,124.0897,-0.719979902
ITA,INDPROD,TOT,IDX2015,M,2004-02,123.7897,1.061231221
ITA,INDPROD,TOT,IDX2015,M,2004-03,121.4899,-0.897219834
ITA,INDPROD,TOT,IDX2015,M,2004-04,123.7897,-0.402205816
ITA,INDPROD,TOT,IDX2015,M,2004-05,123.4897,2.745403112
ITA,INDPROD,TOT,IDX2015,M,2004-06,122.7898,0.903854798
ITA,INDPROD,TOT,IDX2015,M,2004-07,123.0897,-0.243132125
ITA,INDPROD,TOT,IDX2015,M,2004-08,120.39,-0.331070727
ITA,INDPROD,TOT,IDX2015,M,2004-09,122.1898,0.741941415
ITA,INDPROD,TOT,IDX2015,M,2004-10,123.1897,0.489355558
ITA,INDPROD,TOT,IDX2015,M,2004-11,121.1899,-2.336857934
ITA,INDPROD,TOT,IDX2015,M,2004-12,120.29,-3.062059139
ITA,INDPROD,TOT,IDX2015,M,2005-01,120.39,-2.981472274
ITA,INDPROD,TOT,IDX2015,M,2005-02,120.8899,-2.342521228
ITA,INDPROD,TOT,IDX2015,M,2005-03,120.9899,-0.411556845
ITA,INDPROD,TOT,IDX2015,M,2005-04,123.5897,-0.16156433
ITA,INDPROD,TOT,IDX2015,M,2005-05,120.6899,-2.267233624
ITA,INDPROD,TOT,IDX2015,M,2005-06,120.6899,-1.710158336
ITA,INDPROD,TOT,IDX2015,M,2005-07,122.3898,-0.568609721
ITA,INDPROD,TOT,IDX2015,M,2005-08,121.4899,0.913614088
ITA,INDPROD,TOT,IDX2015,M,2005-09,122.0898,-0.081839892
ITA,INDPROD,TOT,IDX2015,M,2005-10,122.1898,-0.811675002
ITA,INDPROD,TOT,IDX2015,M,2005-11,123.4897,1.897682893
ITA,INDPROD,TOT,IDX2015,M,2005-12,121.6899,1.163770887
ITA,INDPROD,TOT,IDX2015,M,2006-01,122.1898,1.494974666
ITA,INDPROD,TOT,IDX2015,M,2006-02,124.4896,2.97766811
ITA,INDPROD,TOT,IDX2015,M,2006-03,125.0896,3.388464657
ITA,INDPROD,TOT,IDX2015,M,2006-04,124.0897,0.404564458
ITA,INDPROD,TOT,IDX2015,M,2006-05,126.9894,5.219575126
ITA,INDPROD,TOT,IDX2015,M,2006-06,127.3894,5.551003025
ITA,INDPROD,TOT,IDX2015,M,2006-07,125.4895,2.532645694
ITA,INDPROD,TOT,IDX2015,M,2006-08,127.1894,4.691336481
ITA,INDPROD,TOT,IDX2015,M,2006-09,126.8894,3.931204736
ITA,INDPROD,TOT,IDX2015,M,2006-10,127.0894,4.009827334
ITA,INDPROD,TOT,IDX2015,M,2006-11,127.2894,3.076936781
ITA,INDPROD,TOT,IDX2015,M,2006-12,129.3892,6.326983587
ITA,INDPROD,TOT,IDX2015,M,2007-01,128.0893,4.828144411
ITA,INDPROD,TOT,IDX2015,M,2007-02,128.8893,3.534190808
ITA,INDPROD,TOT,IDX2015,M,2007-03,129.7892,3.756986992
ITA,INDPROD,TOT,IDX2015,M,2007-04,127.3894,2.659124811
ITA,INDPROD,TOT,IDX2015,M,2007-05,130.0892,2.440991138
ITA,INDPROD,TOT,IDX2015,M,2007-06,129.2892,1.491332874
ITA,INDPROD,TOT,IDX2015,M,2007-07,128.4893,2.390478885
ITA,INDPROD,TOT,IDX2015,M,2007-08,133.2889,4.795604036
ITA,INDPROD,TOT,IDX2015,M,2007-09,129.8892,2.364106064
ITA,INDPROD,TOT,IDX2015,M,2007-10,128.4893,1.101508072
ITA,INDPROD,TOT,IDX2015,M,2007-11,127.0894,-0.157122274
ITA,INDPROD,TOT,IDX2015,M,2007-12,127.9893,-1.081929558
ITA,INDPROD,TOT,IDX2015,M,2008-01,130.6891,2.029677733
ITA,INDPROD,TOT,IDX2015,M,2008-02,129.6892,0.620610089
ITA,INDPROD,TOT,IDX2015,M,2008-03,130.3891,0.462211031
ITA,INDPROD,TOT,IDX2015,M,2008-04,131.689,3.375163083
ITA,INDPROD,TOT,IDX2015,M,2008-05,127.0894,-2.305956221
ITA,INDPROD,TOT,IDX2015,M,2008-06,128.4893,-0.618690502
ITA,INDPROD,TOT,IDX2015,M,2008-07,124.3896,-3.1906937
ITA,INDPROD,TOT,IDX2015,M,2008-08,121.1899,-9.077275002
ITA,INDPROD,TOT,IDX2015,M,2008-09,120.39,-7.313310114
ITA,INDPROD,TOT,IDX2015,M,2008-10,117.8902,-8.249013731
ITA,INDPROD,TOT,IDX2015,M,2008-11,113.8905,-10.38552389
ITA,INDPROD,TOT,IDX2015,M,2008-12,109.1909,-14.68747778
ITA,INDPROD,TOT,IDX2015,M,2009-01,104.9912,-19.66338432
ITA,INDPROD,TOT,IDX2015,M,2009-02,101.1916,-21.97376497
ITA,INDPROD,TOT,IDX2015,M,2009-03,97.1919,-25.46010364
ITA,INDPROD,TOT,IDX2015,M,2009-04,97.69186,-25.8162337
ITA,INDPROD,TOT,IDX2015,M,2009-05,99.39172,-21.79385535
ITA,INDPROD,TOT,IDX2015,M,2009-06,98.69177,-23.19067035
ITA,INDPROD,TOT,IDX2015,M,2009-07,100.8916,-18.89064681
ITA,INDPROD,TOT,IDX2015,M,2009-08,98.59178,-18.64686744
ITA,INDPROD,TOT,IDX2015,M,2009-09,101.5915,-15.61466899
ITA,INDPROD,TOT,IDX2015,M,2009-10,103.2914,-12.38338725
ITA,INDPROD,TOT,IDX2015,M,2009-11,103.4914,-9.130787906
ITA,INDPROD,TOT,IDX2015,M,2009-12,101.9915,-6.593406593
ITA,INDPROD,TOT,IDX2015,M,2010-01,105.5912,0.571476467
ITA,INDPROD,TOT,IDX2015,M,2010-02,104.5913,3.359666217
ITA,INDPROD,TOT,IDX2015,M,2010-03,105.0912,8.127529146
ITA,INDPROD,TOT,IDX2015,M,2010-04,106.0912,8.597789007
ITA,INDPROD,TOT,IDX2015,M,2010-05,106.4911,7.142828397
ITA,INDPROD,TOT,IDX2015,M,2010-06,109.0909,10.53697791
ITA,INDPROD,TOT,IDX2015,M,2010-07,108.7909,7.829492247
ITA,INDPROD,TOT,IDX2015,M,2010-08,112.4906,14.09734158
ITA,INDPROD,TOT,IDX2015,M,2010-09,107.991,6.299247476
ITA,INDPROD,TOT,IDX2015,M,2010-10,108.391,4.937100281
ITA,INDPROD,TOT,IDX2015,M,2010-11,108.9909,5.313968117
ITA,INDPROD,TOT,IDX2015,M,2010-12,109.8908,7.745057186
ITA,INDPROD,TOT,IDX2015,M,2011-01,107.791,2.083317549
ITA,INDPROD,TOT,IDX2015,M,2011-02,110.5908,5.736136753
ITA,INDPROD,TOT,IDX2015,M,2011-03,110.7908,5.423479797
ITA,INDPROD,TOT,IDX2015,M,2011-04,111.8907,5.466523142
ITA,INDPROD,TOT,IDX2015,M,2011-05,109.6909,3.004758144
ITA,INDPROD,TOT,IDX2015,M,2011-06,108.8909,-0.183333349
ITA,INDPROD,TOT,IDX2015,M,2011-07,108.491,-0.275666439
ITA,INDPROD,TOT,IDX2015,M,2011-08,107.791,-4.177771298
ITA,INDPROD,TOT,IDX2015,M,2011-09,107.2911,-0.648109565
ITA,INDPROD,TOT,IDX2015,M,2011-10,105.9912,-2.214021459
ITA,INDPROD,TOT,IDX2015,M,2011-11,106.7911,-2.018333641
ITA,INDPROD,TOT,IDX2015,M,2011-12,107.691,-2.001805429
ITA,INDPROD,TOT,IDX2015,M,2012-01,103.5914,-3.896058112
ITA,INDPROD,TOT,IDX2015,M,2012-02,103.8913,-6.057918018
ITA,INDPROD,TOT,IDX2015,M,2012-03,104.2913,-5.866461836
ITA,INDPROD,TOT,IDX2015,M,2012-04,102.7914,-8.132311264
ITA,INDPROD,TOT,IDX2015,M,2012-05,104.2913,-4.922559665
ITA,INDPROD,TOT,IDX2015,M,2012-06,102.1915,-6.152396573
ITA,INDPROD,TOT,IDX2015,M,2012-07,103.2914,-4.792655612
ITA,INDPROD,TOT,IDX2015,M,2012-08,102.5915,-4.823686579
ITA,INDPROD,TOT,IDX2015,M,2012-09,102.3915,-4.566641595
ITA,INDPROD,TOT,IDX2015,M,2012-10,100.4916,-5.18873265
ITA,INDPROD,TOT,IDX2015,M,2012-11,99.09174,-7.209739388
ITA,INDPROD,TOT,IDX2015,M,2012-12,99.89168,-7.242313657
ITA,INDPROD,TOT,IDX2015,M,2013-01,99.89168,-3.571454773
ITA,INDPROD,TOT,IDX2015,M,2013-02,99.29173,-4.427290832
ITA,INDPROD,TOT,IDX2015,M,2013-03,98.79177,-5.273239474
ITA,INDPROD,TOT,IDX2015,M,2013-04,97.99184,-4.669223301
ITA,INDPROD,TOT,IDX2015,M,2013-05,99.89168,-4.218587744
